,title
393,Problem reading XML files
394,Join takes seemingly forever and eventually aborts
395,MOVE dag is failing
396,Security vulnerabilities
397,Ganglia stops working
398,2205230030001141 | ARR | Cluster Deleted
399,Airflow Connectivity problem with databricks.
400,Customer wants to know who deleted a folder
401, Notebook showing function does not exist
402,ARR | username not being identified | 2205200010000014
403,Followup of SF ticket 00145109
404,Databricks job fails after running 150-180 hours
405,2205100050002215 
406,CSS-ARR-2205240030000617-Databricks Spark Job - ExecutorLostFailure (executor 0 exited caused by one of the running tasks) Reason: Remote RPC client disassociated.
407,2205200030001371
408,Notebook issues
409,Failed to acquire MySQL lock job-5
410,Need your confirm that if we could check 
411,Unable to submit Databricks Jar job and pass the spark parameters
412,[ARR] [Sev B] SR-2205190010002627 RCA-performance issue for job executing
413,New user doesn't receive an invite email
414,2205090040004711
415,2205160030000400
416,Conuming avro messages from kafka makes problem.
417,need to be able to retrieve metadata statistics for all columns of the table
418,ARR | Blackrock-OneAladdin| Restapi using access token+management token not working for workspace enabled private endpoint| SR:2205190030000177  
419,very slow metadata query show tables
420,Databricks Issue
421,PowerBi Failing To Connect To Databricks Table and Fetch Data
422,is there any release on 20th or 21st May could impact the cypher in request socket
423,Job failing because of column not found issue
424, Spark Structured Streaming Job Not Running
425,ARR | 2205230040005172 | Library installation issue
426,ARR- ATT- spark ignoreMissingFiles is not working with single node databricks clusters-2205120040001867  
427,Connection error during python library installation
428,Behaviour Difference in Photon
429,Deploy Databricks failed when use a resource group which include GB character in name
430,Reliable Cluster Configurations
431,2205100040006478 Databricks issues without any logs in the job runs
432,Job Failure
433,ARR- ATT- Clusters with GPU won't start- 2205200040006767 
434,2205230010002783  Spark Task runs and does not rerturn results 
435,SQL endpoint failing to start
436,2205200030002012 | Python SDK
437,failed integrity checks
438, 2205230040006464  Problem passing a timestamp argument
439,Same job sometimes runs for ever
440,ARR - ATT - Invalid fs.azure.account.key error - while trying to save data to ADLS container from Databricks- 2205180040008310 
441,Squid Proxy Implementation for Outbound Traffic
442,ARR Customer Engie: Issue - Problems accessing Databricks Workspace
443,vacuum not working
444,User access - Pentest security finding
445,ARR Customer Giliead Sciences: Issue - Module OS has no attribute PathLike
